[INFO] Base URL: https://almacenamiento-api-pf.s4bnsc.easypanel.host
[INFO] Node IDs: 65, 66, 64
[INFO] Sensor IDs: temp=1, hum=2, press=3, lat=4, lng=5
[INFO] Lat/Lng fijas: -26.8241, -65.2226
[INFO] Intervalo: 45s | Ciclos: infinito
[ERROR] ciclo=1: HTTP 429 en POST /measurements: {'error': 'Rate limit exceeded: 30 per 1 minute'}
[OK] ciclo=2 node=65 ts=2026-03-20T02:06:21.802003 temp=23.3925 sid=1
[OK] ciclo=2 node=65 ts=2026-03-20T02:06:21.802003 hum=57.15 sid=2
[OK] ciclo=2 node=65 ts=2026-03-20T02:06:21.802003 press=1012.871 sid=3
[OK] ciclo=2 node=65 ts=2026-03-20T02:06:21.802003 lat=-26.8241 sid=4
[OK] ciclo=2 node=65 ts=2026-03-20T02:06:21.802003 lng=-65.2226 sid=5
[OK] ciclo=2 node=66 ts=2026-03-20T02:06:21.802003 temp=23.3925 sid=1
[OK] ciclo=2 node=66 ts=2026-03-20T02:06:21.802003 hum=57.15 sid=2
[OK] ciclo=2 node=66 ts=2026-03-20T02:06:21.802003 press=1012.871 sid=3
[OK] ciclo=2 node=66 ts=2026-03-20T02:06:21.802003 lat=-26.8241 sid=4
[OK] ciclo=2 node=66 ts=2026-03-20T02:06:21.802003 lng=-65.2226 sid=5
[OK] ciclo=2 node=64 ts=2026-03-20T02:06:21.802003 temp=23.3925 sid=1
[OK] ciclo=2 node=64 ts=2026-03-20T02:06:21.802003 hum=57.15 sid=2
[OK] ciclo=2 node=64 ts=2026-03-20T02:06:21.802003 press=1012.871 sid=3
[OK] ciclo=2 node=64 ts=2026-03-20T02:06:21.802003 lat=-26.8241 sid=4
[OK] ciclo=2 node=64 ts=2026-03-20T02:06:21.802003 lng=-65.2226 sid=5
[OK] ciclo=3 node=65 ts=2026-03-20T02:07:09.323474 temp=24.0825 sid=1
[OK] ciclo=3 node=65 ts=2026-03-20T02:07:09.323474 hum=60.1754 sid=2
[OK] ciclo=3 node=65 ts=2026-03-20T02:07:09.323474 press=1013.8872 sid=3
[OK] ciclo=3 node=65 ts=2026-03-20T02:07:09.323474 lat=-26.8241 sid=4
[OK] ciclo=3 node=65 ts=2026-03-20T02:07:09.323474 lng=-65.2226 sid=5
[OK] ciclo=3 node=66 ts=2026-03-20T02:07:09.323474 temp=24.0825 sid=1
[OK] ciclo=3 node=66 ts=2026-03-20T02:07:09.323474 hum=60.1754 sid=2
[OK] ciclo=3 node=66 ts=2026-03-20T02:07:09.323474 press=1013.8872 sid=3
[OK] ciclo=3 node=66 ts=2026-03-20T02:07:09.323474 lat=-26.8241 sid=4
[OK] ciclo=3 node=66 ts=2026-03-20T02:07:09.323474 lng=-65.2226 sid=5
[OK] ciclo=3 node=64 ts=2026-03-20T02:07:09.323474 temp=24.0825 sid=1
[OK] ciclo=3 node=64 ts=2026-03-20T02:07:09.323474 hum=60.1754 sid=2
[OK] ciclo=3 node=64 ts=2026-03-20T02:07:09.323474 press=1013.8872 sid=3
[OK] ciclo=3 node=64 ts=2026-03-20T02:07:09.323474 lat=-26.8241 sid=4
[OK] ciclo=3 node=64 ts=2026-03-20T02:07:09.323474 lng=-65.2226 sid=5
[OK] ciclo=4 node=65 ts=2026-03-20T02:07:56.861666 temp=24.622 sid=1
[OK] ciclo=4 node=65 ts=2026-03-20T02:07:56.861666 hum=62.1202 sid=2
